_id,OBJECTID,HASTUS,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT,x,y
1,1,4,Turbot St F/S Wharf St (Stop 4),TURBOT ST,Wharf St,502805.7,6962247.3,-27.46330637,153.0283962,SPRING HILL,2 - Intermediate,N,Easy,Easy,Medium,2/6/2018 0:00,502805.7,6962247.3
2,2,5,Ann Street F/S Orient Hotel (Stop 5),ANN ST,Queen St,503022.1,6962290.4,-27.4629168,153.0305863,BRISBANE CITY,3 - Regular with seat,N,Medium,Medium,Hard,,503022.1,6962290.4
3,3,6,Ann St app Wharf St (Stop 6),ANN ST,Creek St,502880.6,6962169,-27.46401311,153.0291545,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502880.6,6962169
4,4,7,Ann St at Anzac Square,ANN ST,Creek St,502623.587,6961944.047,-27.4660445,153.0265537,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502623.587,6961944.047
5,5,8,Central Ann Street Stop 8,ANN ST,Edward St,502569.1,6961895,-27.4664874,153.0260024,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,3/14/2018 12:00:00 AM,502569.1,6961895
6,6,9,Ann St aT KGS ,ANN ST,Edward St,502466.1,6961808,-27.46727303,153.0249601,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,9/26/2017 12:00:00 AM,502466.1,6961808
7,7,276,Ann Street 10A,ANN ST,Albert St,502390.7323,6961740.943,-27.46787855,153.0241974,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,9/26/2017 12:00:00 AM,502390.7323,6961740.943
8,8,11,Ann Street Stop 11,ANN ST,George St,502266.7,6961637.1,-27.46881626,153.0229422,BRISBANE CITY,2 - Intermediate,N,Easy,Easy,Easy,5/23/2018 12:00:00 AM,502266.7,6961637.1
9,9,18,Adelaide St at City Hall (Stop 18),ADELAIDE ST,George St,502293.9,6961530.7,-27.46977679,153.0232177,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502293.9,6961530.7
10,10,19,Adelaide St at City Hall ,ADELAIDE ST,Albert St,502346,6961572,-27.46940385,153.023745,BRISBANE CITY,1 - Premium,Y,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502346,6961572
11,11,20,Adelaide St at City Hall,ADELAIDE ST,Albert St,502393,6961615,-27.46901556,153.0242206,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502393,6961615
12,12,21,Adelaide St @ Res Bank (Stop 21),ADELAIDE ST,Albert St,502452.9,6961669,-27.46852794,153.0248267,BRISBANE CITY,2 - Intermediate,N,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502452.9,6961669
13,13,22,Adelaide St f/s Res Bank (Stop 22),ADELAIDE ST,Albert St,502469.6,6961683.5,-27.46839701,153.0249957,BRISBANE CITY,2 - Intermediate,Y,Easy,Hard,Easy,9/26/2017 12:00:00 AM,502469.6,6961683.5
14,14,23,Adelaide St opp DJ's (Stop 23),ADELAIDE ST,Edward St,502521.6,6961728.9,-27.46798704,153.025522,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502521.6,6961728.9
15,15,24,Adelaide St app Edward St ,ADELAIDE ST,Edward St,502538.1,6961743.4,-27.4678561,153.0256889,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Medium,9/26/2017 12:00:00 AM,502538.1,6961743.4
16,16,25,Adelaide St F/S Edward St (Stop 25),ADELAIDE ST,Edward St,502609.5,6961807.2,-27.46727998,153.0264115,BRISBANE CITY,3 - Regular with seat,Y,Medium,Easy,Easy,,502609.5,6961807.2
17,17,26,Adelaide Street @ Broadway,ADELAIDE ST,Edward St,502620.8,6961817,-27.46719149,153.0265258,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502620.8,6961817
18,18,27,Adelaide St F/S Creek St,ADELAIDE ST,Creek St,502785.3,6961960.1,-27.46589925,153.0281904,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502785.3,6961960.1
19,19,28,Adelaide St at app Hutton L ,ADELAIDE ST,Hutton La,502808.6,6961980.2,-27.46571774,153.0284262,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,9/26/2017 12:00:00 AM,502808.6,6961980.2
20,20,29,Adelaide St F/S Wharf St (Stop 29),ADELAIDE ST,Wharf St,502941,6962095,-27.46468105,153.029766,BRISBANE CITY,2 - Intermediate,Y,Medium,Easy,Hard,,502941,6962095
21,21,30,Adelaide St @ Macrossan St (St 30),ADELAIDE ST,Macrossan,503132.0928,6962281.642,-27.46299562,153.0316995,BRISBANE CITY,3 - Regular with seat,N,Hard,Easy,Easy,,503132.0928,6962281.642
22,22,33,Adelaide St app Wharf St (Stop 33),ADELAIDE ST,Wharf St,502937.5,6962073.5,-27.46487516,153.0297306,BRISBANE CITY,3 - Regular with seat,N,Easy,Easy,Easy,2/6/2017 0:00,502937.5,6962073.5
23,23,35,Adelaide St app Creek St (Stop 35),ADELAIDE ST,Creek St,502781.8,6961938.6,-27.46609336,153.0281551,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,9/27/2017 12:00:00 AM,502781.8,6961938.6
24,24,36,Adelaide St op Anzac Sq (r) (Stop 36),ADELAIDE ST,Edward St,502658.5776,6961826.564,-27.46710507,153.0269081,BRISBANE CITY,3 - Regular with seat,N,Medium,Easy,Medium,,502658.5776,6961826.564
25,25,37,Adelaide St op Anzac Sq (r) (Stop 37),ADELAIDE ST,Edward St,502637.9,6961813.4,-27.46722395,153.0266989,BRISBANE CITY,3 - Regular with seat,N,Medium,Easy,Easy,,502637.9,6961813.4
26,26,39,Adelaide St Stop 39 at David Jones,ADELAIDE ST,Edward St,502537.3,6961726.7,-27.46800687,153.0256809,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,9/27/2017 12:00:00 AM,502537.3,6961726.7
27,27,40,Adelaide St at Broadway (Stop 40),ADELAIDE ST,Edward St,502516.9,6961708.9,-27.46816761,153.0254744,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,9/27/2017 12:00:00 AM,502516.9,6961708.9
28,28,42,Adelaide St f\s Albert St (Stop 42),ADELAIDE ST,Albert St,502441.6,6961643.3,-27.46875998,153.0247124,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502441.6,6961643.3
29,29,43,Adelaide St opp City Hall (Stop 43),ADELAIDE ST,Albert St,502392.9,6961601,-27.46914195,153.0242196,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,9/26/2017 12:00:00 AM,502392.9,6961601
30,30,44,Adelaide St opp City Hall (Stop 44),ADELAIDE ST,Albert St,502371.5,6961582.3,-27.46931081,153.024003,BRISBANE CITY,3 - Regular with seat,Y,Medium,Easy,Easy,,502371.5,6961582.3
31,31,45,Adelaide St opp City Hall ,ADELAIDE ST,George St,502323.5,6961540.5,-27.46968827,153.0235173,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,9/26/2017 12:00:00 AM,502323.5,6961540.5
32,32,46,Adelaide St opp City Plaza (Stop 46),ADELAIDE ST,George St,502307,6961523,-27.46984628,153.0233503,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,9/29/2017 12:00:00 AM,502307,6961523
33,33,47,Adelaide St app George St (Stop 47),ADELAIDE ST,George St,502281.9,6961504.2,-27.47001605,153.0230963,BRISBANE CITY,3 - Regular with seat,Y,Medium,Medium,Medium,,502281.9,6961504.2
34,34,56,Queen St F/S Edward St (Stop 56),QUEEN ST,Edward St,502712.5,6961745,-27.46784132,153.0274541,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,4/19/2023 12:00:00 AM,502712.5,6961745
35,35,57,Queen St F/S Edward St (Stop 57),QUEEN ST,Edward St,502720.6,6961752,-27.46777811,153.0275361,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,2/20/2023 12:00:00 AM,502720.6,6961752
36,36,58,Queen St F/S Ped Crossing (Stop 58),QUEEN ST,Creek St,502763,6961788.7,-27.4674467,153.0279651,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,4/20/2023 12:00:00 AM,502763,6961788.7
37,37,59,Queen St app Creek St (Stop 59),QUEEN ST,Creek St,502793.1,6961815,-27.4672092,153.0282697,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Medium,4/19/2023 12:00:00 AM,502793.1,6961815
38,38,60,Queen St F/S Creek St (Stop 60),QUEEN ST,Creek St,502853.8,6961867.9,-27.46673149,153.0288839,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Medium,9/27/2017 12:00:00 AM,502853.8,6961867.9
39,39,61,Queen St app Wharf St,QUEEN ST,Wharf St,502940.8,6961943.7,-27.46604698,153.0297643,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,3/31/2017 12:00:00 AM,502940.8,6961943.7
40,40,63,Eagle St app Eagle Lane (Stop 63),EAGLE ST,,502963.1,6961844.3,-27.46694432,153.0299903,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Medium,9/27/2017 12:00:00 AM,502963.1,6961844.3
41,41,67,Queen St app Ann St (Orient) (St 67),Queen St,Ann St,503071.8025,6962301.528,-27.46281623,153.0310893,BRISBANE CITY,3 - Regular with seat,Y,Medium,Medium,Medium,,503071.8025,6962301.528
42,42,72,Queen St f/s Eagle Lane (stop 72),Queen St,Eagle La,502925,6961911.6,-27.46633682,153.0296045,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Medium,4/27/2023 12:00:00 AM,502925,6961911.6
43,43,74,Queen St app Creek St (Stop 74),Queen St,Creek St,502864.7,6961858.9,-27.46681272,153.0289943,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,9/27/2017 12:00:00 AM,502864.7,6961858.9
44,44,76,Queen St Farside Creek St.,Queen St,Creek St,502785.5,6961789.8,-27.46743672,153.0281928,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Medium,9/27/2017 12:00:00 AM,502785.5,6961789.8
45,45,81,Elizabeth St F/S George St (Stop 81),Elizabeth St,George St,502442.4,6961359.4,-27.47132303,153.0247211,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,4/21/2023 12:00:00 AM,502442.4,6961359.4
46,46,83,Elizabeth St app Albert St (Stop 83),Elizabeth St,Albert St,502541,6961445.3,-27.47054734,153.0257189,BRISBANE CITY,3 - Regular with seat,Y,Easy,Medium,Easy,9/27/2017 12:00:00 AM,502541,6961445.3
47,47,87,Elizabeth St app Edward St (Stop 87),Elizabeth St,Edward St,502591.6,6961489.4,-27.47014911,153.026231,BRISBANE CITY,4 - Regular,Y,Easy,Medium,Medium,4/21/2023 12:00:00 AM,502591.6,6961489.4
48,48,84,Elizabeth St F/S Albert St (Stop 84),Elizabeth St,Albert St,502704.8,6961588.4,-27.46925512,153.0273765,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,9/27/2017 12:00:00 AM,502704.8,6961588.4
49,49,89,Elizabeth St rear of GPO (Stop 89),Albert St,Creek St,502840.8,6961707.2,-27.46818232,153.0287527,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Medium,9/27/2017 12:00:00 AM,502840.8,6961707.2
50,50,90,Charlotte St app Market St (Stop 90),Charlotte St,Market St,502916.4,6961607.7,-27.46908044,153.0295182,BRISBANE CITY,4 - Regular,Y,Easy,Medium,Hard,9/27/2017 12:00:00 AM,502916.4,6961607.7
51,51,93,Alice St app George St (Stop 95A),ALICE ST,,502800.7,6961064.4,-27.47398559,153.0283484,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Hard,2/6/2017 0:00,502800.7,6961064.4
52,52,94,Margaret St (Stop 94),Margaret St,George St,502682.6,6961125.9,-27.47343061,153.0271528,BRISBANE CITY,4 - Regular,Y,Easy,Medium,Easy,11/9/2017 0:00,502682.6,6961125.9
53,53,95,Alice Street Stop 95,Alice St,George St,502719.7,6960993.6,-27.47462494,153.0275286,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,11/9/2017 0:00,502719.7,6960993.6
54,54,96,Alice Street Stop 96,Alice St,Edward St,502933.4,6961180.5,-27.47293716,153.0296913,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,11/9/2017 0:00,502933.4,6961180.5
55,55,97,Margaret Street Stop 97,Margaret St,Albert St,502750.2,6961185.4,-27.47289331,153.0278369,BRISBANE CITY,4 - Regular,Y,Easy,Easy,Medium,11/9/2017 0:00,502750.2,6961185.4
56,56,98,Margaret St F/S Edward St (Stop 98),Margaret St,Felix St,502973.3,6961380.2,-27.47113419,153.0300946,BRISBANE CITY,4 - Regular,Y,Easy,Easy,Hard,4/26/2023 12:00:00 AM,502973.3,6961380.2
57,57,99,Botanic Gardens Alice St. Stop 96A,ALICE ST,,502833.8,6961093.3,-27.47372461,153.0286833,BRISBANE CITY,2 - Intermediate,Y,Easy,Medium,Easy,11/9/2017 0:00,502833.8,6961093.3
58,58,100,QUT Margaret St. Stop 94A,Margaret St,,502642.3,6961090.4,-27.47375118,153.026745,BRISBANE CITY,4 - Regular,Y,Easy,Medium,Easy,11/9/2017 0:00,502642.3,6961090.4
59,59,109,North Quay Stop 109/110,North Quay,Adelaide St,502141.5679,6961435.679,-27.47063489,153.021676,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Medium,5/23/2018 12:00:00 AM,502141.5679,6961435.679
60,60,114,George St F/S Alice St (Stop 114),George St,Alice St,502628.7,6961044.1,-27.4741692,153.0266074,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Medium,10/7/2016 0:00,502628.7,6961044.1
61,61,115,George St. Stop 115,George St,Mary St,502514.6,6961173.1,-27.47300481,153.0254523,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,11/9/2017 0:00,502514.6,6961173.1
62,62,117,George St app Turbot (r) (Stop 117),George St,Turbot St,502133.8,6961611.5,-27.46904759,153.0215971,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,10/7/2016 0:00,502133.8,6961611.5
63,63,121,Roma Street Stop 121,Roma St,Makerston St,501817.9012,6961887.719,-27.46655435,153.0183994,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Medium,11/9/2017 0:00,501817.9012,6961887.719
64,64,122,Roma St app Garrick St (Stop 122),Roma St,Garrick St,501751.7837,6961906.56,-27.46638434,153.0177301,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,11/9/2017 0:00,501751.7837,6961906.56
65,65,123,George St. Stop 123,George St,Margaret St,502653.7,6961034.7,-27.47425402,153.0268605,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,6/1/2016 0:00,502653.7,6961034.7
66,66,124,Roma Street Stop 124,Roma St,Garrick St,501773.5429,6961924.608,-27.46622137,153.0179503,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,3/12/2018 0:00,501773.5429,6961924.608
67,67,125,Roma St app Transit Centre,Roma St,Markerston St,501813.9229,6961912.98,-27.4663263,153.018359,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,11/9/2017 0:00,501813.9229,6961912.98
68,68,130,Turbot Street off ramp - 130,Magistrates La,Roma St,502167.2,6961721.3,-27.46805626,153.021935,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,4/26/2023 12:00:00 AM,502167.2,6961721.3
69,69,131,Wickham Tce @ Lilley St (Stop 131),Wickhan Terrace,,502071.7709,6962254.407,-27.46324352,153.0209682,SPRING HILL,2 - Intermediate,Y,Easy,Medium,Easy,7/30/2017 12:00:00 AM,502071.7709,6962254.407
70,70,133,Wickham Tce @ Bne Private Hosp (St 133),Wickham Tce,Brisbane Private Hospital,502219.7478,6962026.277,-27.46530285,153.0224663,SPRING HILL,2 - Intermediate,Y,Easy,Medium,Easy,11/3/2017 0:00,502219.7478,6962026.277
71,71,134,Wickham Tce @ Watkins Place (134),Wickham Tce,Bartley St,502308.2353,6961997.966,-27.4655583,153.0233619,SPRING HILL,3 - Regular with seat,y,Easy,Hard,Easy,5/19/2022 12:00:00 AM,502308.2353,6961997.966
72,72,135,Upp Edward St f/s Wickham (St 135),Upper Edward St,Wickham Tce,502449,6962127.3,-27.46439042,153.0247863,SPRING HILL,2 - Intermediate,N,Easy,Medium,Easy,1/10/2018 0:00,502449,6962127.3
73,73,140,Upp Edward St @ Wickham (St 140),Upper Edward St,Wickham Tce,502470.1,6962107.3,-27.46457094,153.0249999,SPRING HILL,2 - Intermediate,Y,Easy,Hard,Easy,2/6/2018 0:00,502470.1,6962107.3
74,74,141,Edward St app Ann St (Stop 141),Edward St,Ann St,502489.8,6961901.1,-27.46643248,153.0251998,BRISBANE CITY,2 - Intermediate,Y,Easy,Hard,Easy,9/26/2017 12:00:00 AM,502489.8,6961901.1
75,75,142,Edward St F/S Queen St (Stop 142),Edward St,Elizabeth St,502710.4,6961644.3,-27.46875044,153.0274331,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Medium,4/20/2023 12:00:00 AM,502710.4,6961644.3
76,76,143,Edward Street Stop 143,Edward St,Elizabeth St,502722.3,6961630.6,-27.4688741,153.0275535,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,6/1/2016 0:00,502722.3,6961630.6
77,77,144,Edward St f/s Elizabeth St (St 144),Edward St,Elizabeth St,502827.1,6961510.8,-27.46995544,153.0286145,BRISBANE CITY,4 - Regular,Y,Easy,Easy,Medium,9/27/2017 12:00:00 AM,502827.1,6961510.8
78,78,145,Edward St app Mary St (Stop 145),Edward St,Mary St,502864.3,6961467.5,-27.47034628,153.0289912,BRISBANE CITY,4 - Regular,Y,Easy,Easy,Easy,9/27/2017 12:00:00 AM,502864.3,6961467.5
79,79,146,Edward St app Margaret St (St 146),Edward St,Margaret St,502935.6,6961388.1,-27.47106295,153.029713,BRISBANE CITY,3 - Regular with seat,Y,Easy,Easy,Easy,6/1/2016 0:00,502935.6,6961388.1
80,80,148,Riverside Creek St (Stop 148),Creek St,Queen St,502848.2,6961803.4,-27.46731381,153.0288274,BRISBANE CITY,4 - Regular,N,Easy,Medium,Hard,,502848.2,6961803.4
81,81,149,Creek Street Stop 149,Creek St,Adelaide St,502781.6,6961880,-27.4666224,153.0281532,BRISBANE CITY,4 - Regular,Y,Easy,Easy,Medium,5/23/2018 12:00:00 AM,502781.6,6961880
82,82,152,Eagle St at Riverside Centre (St 152),Eagle St,Eagle La,502977.6,6961842,-27.46696505,153.030137,BRISBANE CITY,4 - Regular,N,Medium,Easy,Medium,,502977.6,6961842
83,83,153,Eagle St at Waterfront Pl (Stop 153),Eagle St,Charlotte St,502994.1,6961595.5,-27.46919041,153.0303046,BRISBANE CITY,4 - Regular,N,Medium,Easy,Medium,,502994.1,6961595.5
84,84,155,Eagle St app Charlotte St (Stop 155),Eagle St,Charlotte St,502973.0911,6961618.443,-27.46898333,153.0300919,BRISBANE CITY,2 - Intermediate,Y,Easy,Easy,Easy,9/27/2017 12:00:00 AM,502973.0911,6961618.443
85,85,156,Wharf St app Ann St (Stop 156),Wharf St,Ann St,502863.4,6962118.2,-27.46447176,153.0289805,BRISBANE CITY,3 - Regular with seat,N,Medium,Medium,Easy,,502863.4,6962118.2
86,86,157,Wickham Tce stand B (Stop 157),Wickham Tce,Turbot St,502754.8,6962139.7,-27.46427789,153.0278813,SPRING HILL,3 - Regular with seat,N,Medium,Easy,Hard,,502754.8,6962139.7
87,87,158,Wickham Tce stand A (Stop 158),Wickham Tce,Turbot St,502751.8,6962124.2,-27.46441783,153.027851,SPRING HILL,2 - Intermediate,N,Medium,Easy,Hard,,502751.8,6962124.2
88,88,159,Wickham Tce stand C (Stop 159),Wickham Tce,Turbot St,502771.7,6962144.5,-27.46423452,153.0280524,SPRING HILL,4 - Regular,N,Medium,Easy,Hard,,502771.7,6962144.5
89,89,162,Wharf St F/S Ann St (Stop 162),Wharf St,Turbot St,502807.5,6962183.7,-27.46388055,153.0284146,SPRING HILL,2 - Intermediate,Y,Easy,Easy,Medium,11/3/2017 0:00,502807.5,6962183.7
90,90,163,Wharf Street Stop 163,Wharf St,St Pauls Tce,502630,6962388.4,-27.46203287,153.0266177,SPRING HILL,2 - Intermediate,Y,Easy,Hard,Hard,4/21/2016 12:00:00 AM,502630,6962388.4
91,91,165,Leichhardt St - The Ridge (Stop 165),Leichardt St,Henry St,502529.1,6962339.7,-27.46247273,153.0255966,SPRING HILL,3 - Regular with seat,Y,Easy,Easy,Easy,11/3/2017 0:00,502529.1,6962339.7
92,92,166,Wharf St app Turbot St (Stop 166),Wharf St,Turbot St,502765.1,6962255.4,-27.46323333,153.0279853,SPRING HILL,2 - Intermediate,Y,Easy,Hard,Medium,3/31/2017 12:00:00 AM,502765.1,6962255.4
93,93,168,Wharf St F/S Adelaide St,Wharf St,Rich La,502950.6,6962041.1,-27.46516764,153.0298633,BRISBANE CITY,3 - Regular with seat,Y,Easy,Hard,Medium,9/26/2017 12:00:00 AM,502950.6,6962041.1
94,94,172,St Andrews,Boundary St,Bradley St,502026.7,6962577,-27.46033122,153.0205115,SPRING HILL,2 - Intermediate,Y,Easy,Medium,Medium,7/27/2018 12:00:00 AM,502026.7,6962577
95,95,178,Leichhardt Street,Little Edward St,Leichardt St,502382.7,6962353.2,-27.46235111,153.0241149,SPRING HILL,3 - Regular with seat,Y,Easy,Medium,Medium,11/3/2017 0:00,502382.7,6962353.2
96,96,180,Spring Hill Post Office Stop 180,Boundary St,Fortescue St,502288.2,6962533.9,-27.46071992,153.0231581,SPRING HILL,2 - Intermediate,Y,Easy,Hard,Hard,11/3/2017 0:00,502288.2,6962533.9
97,97,185,Fortescue Street Spring Hill,Fortescue St,Boundary St,502322.5802,6962562.154,-27.46046478,153.023506,SPRING HILL,4 - Regular,Y,Easy,Hard,Medium,4/24/2017 12:00:00 AM,502322.5802,6962562.154
98,98,186,Water St Spring Hill,Water St,Laisby Dr,502459.8208,6962619.9,-27.45994321,153.0248949,SPRING HILL,4 - Regular,Y,Easy,Hard,Medium,11/3/2017 0:00,502459.8208,6962619.9
99,99,201,Brunswick St @ Alfred St (Stop 201),Brunswick St,Alfred St,503184.3,6963034.9,-27.45619508,153.0322259,FORTITUDE VALLEY,3 - Regular with seat,Y,Easy,Hard,Medium,,503184.3,6963034.9
100,100,202,Brunswick St @ Wickham St (St 202),Brunswick St,Wickham St,503318.7,6962916.6,-27.45726277,153.0335864,FORTITUDE VALLEY,3 - Regular with seat,Y,Easy,Easy,Easy,3/14/2017 12:00:00 AM,503318.7,6962916.6
101,101,204,Warner St mid-block (Stop 204),Warner St,Ann St,503461.4844,6962921.854,-27.45721499,153.0350314,FORTITUDE VALLEY,2 - Intermediate,Y,Easy,Easy,Easy,3/10/2017 0:00,503461.4844,6962921.854
102,102,205,Warner St app Ann St (Stop 205),Warner St,Ann St,503495.6875,6962891.915,-27.45748519,153.0353777,FORTITUDE VALLEY,1 - Premium,Y,Easy,Medium,Easy,8/17/2015 12:00:00 AM,503495.6875,6962891.915
103,103,206,Ballow St app Ann St (Stop 206),Ballow St,Ann St,503570.9075,6962937.482,-27.45707361,153.0361388,FORTITUDE VALLEY,2 - Intermediate,N,Easy,Medium,Hard,,503570.9075,6962937.482
104,104,207,Brunswick St @ McLachlan (207),Brunswick St,McLachlan St,503500.4,6962755.4,-27.45871763,153.0354258,FORTITUDE VALLEY,3 - Regular with seat,Y,Easy,Medium,Easy,11/1/2017 0:00,503500.4,6962755.4
105,105,211,Brunswick St f/s Wickham (St 211),Brunswick St,Alfred St,503272.5,6962938.7,-27.45706337,153.0331188,FORTITUDE VALLEY,3 - Regular with seat,Y,Medium,Easy,Easy,3/14/2017 12:00:00 AM,503272.5,6962938.7
106,106,212,Brunswick St @ Alfred St (Stop 212),Brunswick St,Alfred St,503214.7,6962989.9,-27.45660127,153.0325337,FORTITUDE VALLEY,3 - Regular with seat,Y,Easy,Easy,Medium,11/1/2017 0:00,503214.7,6962989.9
107,107,216,Valley Island (Ann St) (Stop 216),Ann St,Gipps St,503353.3573,6962670.741,-27.4594823,153.0339379,FORTITUDE VALLEY,2 - Intermediate,N,Easy,Medium,Medium,,503353.3573,6962670.741
108,108,217,Valley Island (Ann St) (Stop 217),Ann St,Gotha St,503262.8703,6962571.61,-27.46037748,153.0330223,FORTITUDE VALLEY,2 - Intermediate,N,Medium,Easy,Easy,,503262.8703,6962571.61
109,109,218,Ann St - Stop 218,Ann St,Kemp Pl,503290.4283,6962578.713,-27.46031329,153.0333012,FORTITUDE VALLEY,2 - Intermediate,N,Easy,Medium,Medium,2/6/2018 0:00,503290.4283,6962578.713
110,110,219,Ann St - Stop 219,Ann St,Kemp Pl,503271.8283,6962557.813,-27.46050202,153.033113,FORTITUDE VALLEY,2 - Intermediate,Y,Easy,Easy,Medium,2/6/2018 0:00,503271.8283,6962557.813
111,111,220,Ann St - Stop 220,Ann St,Dodge La,503181.1474,6962454.766,-27.46143254,153.0321956,FORTITUDE VALLEY,2 - Intermediate,Y,Easy,Medium,Easy,4/18/2023 12:00:00 AM,503181.1474,6962454.766
112,112,225,Wickham St app Little St ,Wickham St,Little St,503162.8,6962717.1,-27.45906423,153.0320092,FORTITUDE VALLEY,3 - Regular with seat,Y,Easy,Easy,Easy,11/3/2017 0:00,503162.8,6962717.1
113,113,226,Wickham St app Gotha St (Stop 226),Wickham St,Gotha St,503135.2495,6962612.826,-27.46000568,153.0317306,FORTITUDE VALLEY,2 - Intermediate,Y,Easy,Easy,Easy,6/1/2016 0:00,503135.2495,6962612.826
114,114,227,Wickham St f/s Gotha St (Stop 227),Wickham St,Little St,503141.1646,6962691.463,-27.45929573,153.0317903,FORTITUDE VALLEY,3 - Regular with seat,Y,Easy,Easy,Medium,11/2/2017 0:00,503141.1646,6962691.463
115,115,228,Wickham St f/s Brunswick (St 228),Wickham St,Brunswick St,503347.1,6962930.2,-27.45713992,153.0338738,FORTITUDE VALLEY,3 - Regular with seat,Y,Easy,Easy,Medium,4/6/2023 0:00,503347.1,6962930.2
116,116,231,Gotha St - 231,Gotha St,Wickham St,503117.7708,6962670.536,-27.45948472,153.0315536,FORTITUDE VALLEY,2 - Intermediate,Y,Easy,Medium,Hard,1/21/2016 12:00:00 AM,503117.7708,6962670.536
117,117,232,Fortitude Valley - 232,St Pauls Tce,Amelia St,503199.8818,6963157.477,-27.45508842,153.0323833,FORTITUDE VALLEY,2 - Intermediate,Y,Easy,Easy,Easy,6/1/2016 0:00,503199.8818,6963157.477
118,118,235,Union Street - 235,St Pauls Tce,Boundary St,502692,6962551.3,-27.46056209,153.0272448,SPRING HILL,2 - Intermediate,Y,Easy,Easy,Hard,11/3/2017 0:00,502692,6962551.3
119,119,236,Gotha/St Pauls (Stop 236),Gotha St,Agnes St,502957.7302,6962809.485,-27.45823064,153.0299335,FORTITUDE VALLEY,3 - Regular with seat,Y,Easy,Medium,Easy,6/2/2022 0:00,502957.7302,6962809.485
120,120,237,Union St - 237,St Pauls Tce,Isaac St,502685.1,6962564.6,-27.46044203,153.027175,SPRING HILL,2 - Intermediate,Y,Easy,Easy,Easy,4/21/2016 12:00:00 AM,502685.1,6962564.6
