_id,OBJECTID,HASTUS,DESCRIPTION,STREETNAME,NEAREST_CROSS_STREET,EASTING,NORTHING,LATITUDE,LONGITUDE,SUBURB,BUS_STOP_TYPE,TACTILE_GROUND_SURF_INDICAT_Y_N,BOARDING_POINT,ROAD_GRADIENT,CROSS_FALL,DATE_OF_LAST_AUDIT,x,y
1581,1581,3461,Playfield Street – 37a,Hamilton Rd,Kingsmill St,503366.7829,6970759.87,-27.38645322,153.0340513,CHERMSIDE,3 - Regular with seat,Y,Easy,Easy,Easy,3/15/2023 12:00:00 AM,503366.7829,6970759.87
1582,1582,3463,Corrie Street - 41,Corrie St,Pechey St,503946.8859,6970939.047,-27.38483404,153.0399178,CHERMSIDE,4 - Regular,Y,Easy,Easy,Medium,,503946.8859,6970939.047
1583,1583,3465,Beor Street - 42,BEOR ST,Corrie St,504033.1028,6971162.079,-27.38282023,153.0407891,CHERMSIDE,2 - Intermediate,N,Hard,Easy,Hard,,504033.1028,6971162.079
1584,1584,3467,Unmack Street - 43,Beor St,Fee St,504289.9126,6971119.723,-27.38320185,153.0433865,CHERMSIDE,3 - Regular with seat,N,Medium,Easy,Hard,,504289.9126,6971119.723
1585,1585,3469,Stadcor Street - 53,STADCOR ST,Kotara St,504952.9761,6970546.563,-27.38837414,153.0500948,WAVELL HEIGHTS,2 - Intermediate,Y,Easy,Easy,Medium,11/14/2019 12:00:00 AM,504952.9761,6970546.563
1586,1586,3473,Kuppa Street - 49,BILSEN RD,Kuppa St,505258.6206,6970704.255,-27.38694934,153.0531854,WAVELL HEIGHTS,2 - Intermediate,Y,Easy,Hard,Medium,9/17/2019 12:00:00 AM,505258.6206,6970704.255
1587,1587,3474,Kuppa Street - 49,BILSEN RD,Halcyon St,505243.8,6970684.9,-27.38712413,153.0530356,WAVELL HEIGHTS,4 - Regular,Y,Easy,Medium,Medium,9/17/2019 12:00:00 AM,505243.8,6970684.9
1588,1588,3475,Halcyon Street - 48,BILSEN RD,Halcyon St,505228.2875,6970515.811,-27.38865075,153.0528794,WAVELL HEIGHTS,3 - Regular with seat,Y,Easy,Easy,Medium,9/27/2019 12:00:00 AM,505228.2875,6970515.811
1589,1589,3476,Halcyon Street - 48,BILSEN RD,Halcyon St,505221.3,6970548.3,-27.38835746,153.0528086,WAVELL HEIGHTS,3 - Regular with seat,N,Medium,Easy,Hard,,505221.3,6970548.3
1590,1590,3477,Bilsen Road - 47,BILSEN RD,Hamilton Rd,505189.4384,6970277.441,-27.39080292,153.0524875,WAVELL HEIGHTS,2 - Intermediate,Y,Easy,Hard,Easy,2/9/2023 0:00,505189.4384,6970277.441
1591,1591,3478,Bilsen Road - 50,BILSEN RD,Main Av,505280,6970902.8,-27.38515677,153.0534008,WAVELL HEIGHTS,2 - Intermediate,N,Easy,Easy,Medium,2/9/2023 0:00,505280,6970902.8
1592,1592,3481,Virginia School Sandgate Road,Sandgate Rd,Jefferis St,506143.5609,6971097.733,-27.38339328,153.0621337,VIRGINIA,2 - Intermediate,Y,Easy,Easy,Easy,7/20/2017 12:00:00 AM,506143.5609,6971097.733
1593,1593,3482,Lochrae Street - 43,Hamilton Rd,Newman Rd,504485.3685,6970589.489,-27.38798822,153.0453652,WAVELL HEIGHTS,2 - Intermediate,Y,Easy,Medium,Easy,2/10/2023 0:00,504485.3685,6970589.489
1594,1594,3483,Lochrae Street - 43,Hamilton Rd,Lochrae St,504501.4933,6970572.731,-27.38813945,153.0455284,WAVELL HEIGHTS,3 - Regular with seat,Y,Easy,Easy,Easy,1/29/2016 12:00:00 AM,504501.4933,6970572.731
1595,1595,3484,Albar Street - 49,Hamilton Rd,Albar St,504834.6496,6970465.465,-27.38910672,153.0488983,WAVELL HEIGHTS,2 - Intermediate,Y,Easy,Easy,Easy,2/10/2023 0:00,504834.6496,6970465.465
